id,word,difficulty,category,synonyms,disabled
87,树懒,2,动物,,
88,刺猬,2,动物,,
89,恐龙,2,动物,,
90,消防车,2,交通,,
91,火箭,2,交通,,
92,雪橇,2,交通,,
93,滑板,2,物品,,
94,溜冰鞋,2,物品,旱冰鞋,
95,望远镜,2,物品,,
96,显微镜,2,物品,,
97,温度计,2,物品,,
98,指南针,2,物品,,
99,沙漏,2,物品,,
100,打字机,2,物品,,
101,收音机,2,物品,,
102,相机,2,物品,照相机,
103,麦克风,2,物品,话筒,
104,耳机,2,物品,,
105,电风扇,2,物品,风扇,
106,洗衣机,2,物品,,
107,冰箱,2,物品,,
108,订书机,2,物品,,
109,灭火器,2,物品,,
110,手电筒,2,物品,,
111,口罩,2,物品,,
112,行李箱,2,物品,箱子,
113,高跟鞋,2,物品,,
114,围巾,2,物品,,
115,双肩包,2,物品,书包|背包,
116,皇冠,2,物品,,
117,魔法棒,2,物品,魔杖,
118,南瓜灯,2,物品,,
119,圣诞树,2,物品,,
120,摩天轮,2,建筑,,
121,城堡,2,建筑,,
122,灯塔,2,建筑,,
123,风车,2,建筑,,
124,电梯,2,物品,,
125,红绿灯,2,物品,信号灯,
126,邮筒,2,物品,信箱,
127,消防栓,2,物品,,
128,斑马线,2,物品,人行横道,
129,帐篷,2,物品,,
130,篝火,2,物品,营火,
131,游泳池,2,建筑,,
132,秋千,2,物品,,
133,滑梯,2,物品,,
134,跷跷板,2,物品,,
135,跳绳,2,物品,,
136,呼啦圈,2,物品,,
137,台球桌,2,物品,桌球,
138,保龄球,2,物品,,
139,乒乓球拍,2,物品,乒乓球,
140,火山,2,自然,,
141,瀑布,2,自然,,
142,宇航员,2,人物,航天员,
143,吉他,2,物品,,
144,钢琴,2,物品,,
145,熬夜,3,生活,,
146,社恐,3,情绪,,
147,摸鱼,3,生活,偷懒,
148,加班,3,生活,,
149,打工人,3,人物,,
150,快递,3,生活,包裹,
151,外卖,3,生活,叫外卖,
152,直播,3,生活,,
153,自拍,3,生活,,
154,健身,3,生活,锻炼,
155,减肥,3,生活,,
156,失眠,3,生活,睡不着,
157,尴尬,3,情绪,,
158,惊喜,3,情绪,,
159,后悔,3,情绪,,
160,堵车,3,场景,塞车,
161,排队,3,场景,,
162,迟到,3,场景,,
163,停电,3,场景,,
164,开学,3,生活,,
165,毕业,3,生活,,
166,相亲,3,生活,,
167,面试,3,生活,,
168,搬家,3,生活,,
169,选择困难,3,情绪,,
170,手机没电,3,场景,,
171,耳机缠线,3,场景,,
172,吃火锅,3,场景,,
173,撸猫,3,场景,摸猫,
174,追剧,3,场景,,
175,打游戏,3,场景,,
176,逛超市,3,场景,,
177,坐地铁,3,场景,,
178,抢红包,3,场景,,
179,吹蜡烛,3,场景,,
180,许愿,3,场景,,
181,理发,3,场景,剪头发,
182,打喷嚏,3,动作,,
183,打哈欠,3,动作,,
184,流汗,3,动作,,
185,发抖,3,动作,,
186,装睡,3,动作,,
187,发呆,3,动作,,
188,认错,3,动作,道歉,
189,中奖,3,场景,,
190,网速慢,3,场景,,
191,起床困难,3,场景,赖床,
192,忘记密码,3,场景,,
193,迷路,3,场景,,
194,拆快递,3,场景,开箱,
195,洗衣服,3,场景,,
196,晒被子,3,场景,,
197,赶地铁,3,场景,,
198,拍照失败,3,场景,,
199,手机掉地上,3,场景,,
200,被蚊子咬,3,场景,,
